datasets,f1-ori,f1-cl,f1-cli,f1-dcli,auc-ori,auc-cl,auc-cli,auc-dcli,prec-ori,prec-cl,prec-cli,prec-dcli,recall-ori,recall-cl,recall-cli,recall-dcli,mcc-ori,mcc-cl,mcc-cli,mcc-dcli,effort-ori,effort-cl,effort-cli,effort-dcli
activemq,0.3395658469765124,0.32044569535108847,0.4242535518373122,0.4307018601141842,0.6044939505746681,0.595945224907131,0.6683589059737137,0.7291461108417168,0.5140681089025183,0.5136616035911353,0.36958161659138283,0.34987400288066517,0.25528787358207317,0.23463187001710004,0.500165173057226,0.5643305324922886,0.2827374568049197,0.2697421823071181,0.2996755603839317,0.30437008365498663,0.3073433757346696,0.2670289713861492,0.4207207567719625,0.46169004867163865
camel,0.3397361474788721,0.3496622571878095,0.43599694993475946,0.4322091193839581,0.6129205949176428,0.6170638348124269,0.7134322816511021,0.7800357917920995,0.4842318155467238,0.5024029121773431,0.35834666829883244,0.3324237001609063,0.26250273137288466,0.2692560149123725,0.5582481941654522,0.6202175568806261,0.29755778665778043,0.3101365124582041,0.3551317548467059,0.35474168589297517,0.24165215807722137,0.2342830991047169,0.3691122277616226,0.3947881304864115
derby,0.24791992491810805,0.2640255934777908,0.37860989125143873,0.37885735250210895,0.5720569188286431,0.5782991835314361,0.6614961176481479,0.7201762176646123,0.42304115037426027,0.4678769465895142,0.33250116186131684,0.30369527802826174,0.1765665321197578,0.18502061991040925,0.44178305536918056,0.5066862146245616,0.2144651416718478,0.23915563053544947,0.28641402177245023,0.2846934169777564,0.2818816770242193,0.2295303214627294,0.3425514883452468,0.37396579664594953
geronimo,0.3322589300255255,0.3354645983818329,0.4130836965782277,0.4125456780334635,0.6084346312540032,0.6083702759798179,0.6957016910509386,0.7596724188425984,0.5036026753142313,0.5417361957098782,0.34286922480781773,0.3190537871085132,0.24869728223898405,0.24365417174931361,0.5211302642442208,0.586180590603691,0.29863532817372146,0.31201516984365607,0.3286472472209812,0.33087011791195065,0.4410283227744475,0.42890159893850666,0.4336885931726188,0.4736881452498921
hbase,0.4193670234456162,0.42673713776236627,0.48649386942687906,0.4889816864767428,0.638840448340764,0.6427629215140028,0.6930407146787464,0.7475335542234852,0.5432228323407571,0.5462279237785232,0.4472298116735559,0.4231905833796278,0.3423072765787226,0.35094125948334265,0.5342498683664434,0.5810505936234859,0.3360127930901185,0.34259286072934436,0.36119529233593295,0.3594284420120865,0.29173788382097154,0.2864393469853333,0.4041907551410426,0.43398023186280027
hcommon,0.23935534594813906,0.21521012550442958,0.3252911631151819,0.3136698419325548,0.576459184412865,0.5660600414145056,0.7124320391549693,0.7873086369883231,0.41831992067126517,0.4182135149751837,0.2325798099720926,0.21082323288621946,0.16838530102523808,0.14552657152762158,0.5438826018215559,0.6168990286964513,0.23593806558142427,0.21885226150909848,0.2908816162217705,0.2900056264607952,0.6540998904048865,0.6584344252520614,0.513580197128301,0.5624707311051431
mahout,0.4391482288565764,0.48595585691335497,0.5195828970712564,0.5090254640323748,0.6579219917993407,0.6849190977347076,0.7406905498592423,0.7859572026798229,0.5558054109749632,0.5769583734603426,0.4558546194568602,0.4237183901452789,0.36971850357970193,0.42640857167151236,0.6129284677855525,0.6462288702432727,0.3748850967673837,0.41921122746438233,0.42773584321082725,0.41460289809897377,0.2515400182523776,0.2488643179439725,0.29992508278878266,0.311918609480164
openjpa,0.22409495871850904,0.19798087894422942,0.3558460757158249,0.3517581477055625,0.5642294176263765,0.5545786648262985,0.6635811559823002,0.7198754140090543,0.41643888818263114,0.4588467284486801,0.2892072678222204,0.26493715582983324,0.15478104489753,0.12766257390085048,0.46744295709714745,0.5292359275157756,0.2021582593796508,0.19735931017410424,0.26724151118050804,0.26382609872998636,0.3288463848677324,0.2614973963392254,0.32971798630153926,0.36214275021555836
pig,0.35107435331644116,0.3427482728963308,0.4409990618037002,0.43888869358459903,0.61298070304649,0.6093506584667396,0.687625558600993,0.7393339457043278,0.5060214260407578,0.47579652340431655,0.38433146835781284,0.36123276675582616,0.27381582496654755,0.2723318450690848,0.5252894825029601,0.570612479897938,0.2938926454235339,0.2775801191258017,0.3314803721378713,0.3276758281319715,0.23076655532756213,0.20995887552190756,0.3451812756965406,0.37398813449237667
tuscany,0.17108474746875207,0.12443065744989786,0.3153354023403795,0.3128286783982481,0.5488543182424008,0.5328124908906737,0.6830405836189064,0.7613961133363014,0.36109657629086944,0.3670474112787509,0.23415061218259847,0.21734986222884203,0.11268939915535274,0.07541274778745864,0.4851311800669639,0.5614438980286653,0.17014569577240685,0.14005037576635754,0.26502361143137276,0.27134966642770875,0.5979055438410457,0.6024644856845449,0.3886131128241417,0.43047609976368506
