activemq,0.414948,0.439615,0.512873,0.637560,0.651409,0.818853,0.647969,0.614934,0.473577,0.306836,0.343968,0.561935,0.380307,0.388221,0.413303,0.372469,0.357466,0.476208
camel,0.396908,0.420064,0.498924,0.634395,0.650610,0.850416,0.624553,0.566295,0.421204,0.291886,0.334967,0.613365,0.379689,0.381210,0.429416,0.275553,0.290110,0.409967
derby,0.364909,0.391764,0.435540,0.625833,0.642479,0.799602,0.488853,0.479352,0.340924,0.292783,0.333691,0.606505,0.316411,0.334330,0.355897,0.344026,0.333633,0.476487
geronimo,0.377554,0.412821,0.494199,0.624871,0.643343,0.840570,0.629607,0.611147,0.429019,0.270426,0.312538,0.584474,0.367310,0.388439,0.424053,0.466547,0.363455,0.505264
hbase,0.585570,0.573062,0.580202,0.733955,0.732841,0.842968,0.653827,0.604148,0.505169,0.530967,0.545870,0.682946,0.508531,0.484594,0.477425,0.450355,0.432944,0.515592
hcommon,0.377887,0.398366,0.468867,0.630348,0.641374,0.886847,0.628172,0.619055,0.391202,0.271405,0.294824,0.587038,0.388752,0.402273,0.436883,0.701761,0.705488,0.698383
mahout,0.457049,0.517700,0.547171,0.663777,0.704904,0.846889,0.613356,0.586517,0.482990,0.369969,0.470120,0.639919,0.406094,0.448737,0.461756,0.248289,0.274943,0.337972
openjpa,0.319441,0.335894,0.423284,0.602738,0.610344,0.789247,0.539130,0.542099,0.347743,0.229348,0.246054,0.545514,0.303357,0.315930,0.347761,0.252413,0.243976,0.411526
pig,0.492611,0.489076,0.501675,0.685273,0.683558,0.811851,0.607589,0.606735,0.435326,0.418763,0.415543,0.599267,0.433444,0.430429,0.406008,0.373539,0.342282,0.425374
tuscany,0.183348,0.218279,0.372239,0.551688,0.563973,0.830269,0.594787,0.571137,0.301519,0.109003,0.135659,0.488284,0.233376,0.254514,0.324498,0.627726,0.627980,0.414251
