datasets,f1-dcli,auc-dcli,prec-dcli,recall-dcli,mcc-dcli,effort-dcli
activemq,0.4423610665703734,0.8084815356180673,0.6224543131842039,0.3448951709556211,0.3926306500261929,0.38455235460632475
camel,0.41708917629054215,0.8396804667453985,0.5808612737269903,0.326456352902017,0.3829073837471183,0.2829288645063301
derby,0.34383596614805095,0.7984627466815701,0.5701953344492668,0.24743631349864253,0.3249345977620724,0.31077324475377704
geronimo,0.42260431060412335,0.8242249526210967,0.6227615874265171,0.3207677731269253,0.3990046019677639,0.39600121078058564
hbase,0.5732943275153703,0.8397915838783735,0.6565709211557728,0.5099187483886986,0.49817091614009534,0.41207942670060166
hcommon,0.41052933150673604,0.8734365844546879,0.6902514951166848,0.29315875623744336,0.42778327116055037,0.711655170651987
mahout,0.5132406627629662,0.8322999621698683,0.5899727708168538,0.4606124616038042,0.445873522855537,0.2694588495433021
openjpa,0.317653625664406,0.7796756067831704,0.5831199818282128,0.2200930379650222,0.31428957214863423,0.2532171461828018
pig,0.4891863697760955,0.7983572859648241,0.6512450486778271,0.3970644800136621,0.4433506485571622,0.33124645185739
tuscany,0.22663161595095538,0.8134111133907821,0.5688930468941864,0.14224320625071807,0.26017944537252335,0.6297974792532726
